user_id,account_id,role,signup_date
1,1,Asset Planner,2025-04-21
2,1,Network Engineer,2025-04-21
3,2,Data Analyst,2026-03-07
4,2,Operations Manager,2026-03-07
5,2,Operations Manager,2026-03-07
6,3,Operations Manager,2025-03-11
7,4,Data Analyst,2025-03-08
8,4,Asset Planner,2025-03-08
9,4,Data Analyst,2025-03-08
10,5,Operations Manager,2025-11-29
11,5,Operations Manager,2025-11-29
12,5,Data Analyst,2025-11-29
13,5,Data Analyst,2025-11-29
14,6,Asset Planner,2026-04-13
15,6,Asset Planner,2026-04-13
16,6,Data Analyst,2026-04-13
17,7,Data Analyst,2026-02-15
18,7,Network Engineer,2026-02-15
19,8,Data Analyst,2026-06-28
20,8,Data Analyst,2026-06-28
21,8,Data Analyst,2026-06-28
22,9,Data Analyst,2025-04-13
23,9,Network Engineer,2025-04-13
24,10,Operations Manager,2026-04-12
25,10,Network Engineer,2026-04-12
26,11,Network Engineer,2025-04-04
27,11,Data Analyst,2025-04-04
28,11,Network Engineer,2025-04-04
29,11,Asset Planner,2025-04-04
30,12,Asset Planner,2026-05-22
31,12,Network Engineer,2026-05-22
32,12,Data Analyst,2026-05-22
33,12,Operations Manager,2026-05-22
34,13,Data Analyst,2025-03-30
35,13,Network Engineer,2025-03-30
36,13,Operations Manager,2025-03-30
37,14,Operations Manager,2026-05-06
38,14,Data Analyst,2026-05-06
39,14,Network Engineer,2026-05-06
40,14,Network Engineer,2026-05-06
41,15,Operations Manager,2025-10-13
42,15,Asset Planner,2025-10-13
43,16,Data Analyst,2025-08-23
44,17,Network Engineer,2026-01-20
45,18,Asset Planner,2025-06-28
46,18,Operations Manager,2025-06-28
47,18,Network Engineer,2025-06-28
48,18,Network Engineer,2025-06-28
49,19,Network Engineer,2026-02-10
50,19,Operations Manager,2026-02-10
51,19,Operations Manager,2026-02-10
52,20,Data Analyst,2026-03-23
53,20,Asset Planner,2026-03-23
54,20,Asset Planner,2026-03-23
55,21,Asset Planner,2026-04-11
56,21,Asset Planner,2026-04-11
57,21,Asset Planner,2026-04-11
58,21,Network Engineer,2026-04-11
59,22,Asset Planner,2026-06-05
60,22,Data Analyst,2026-06-05
61,22,Asset Planner,2026-06-05
62,22,Asset Planner,2026-06-05
63,23,Operations Manager,2025-06-11
64,23,Data Analyst,2025-06-11
65,23,Operations Manager,2025-06-11
66,23,Network Engineer,2025-06-11
67,24,Operations Manager,2025-10-15
68,24,Asset Planner,2025-10-15
69,24,Network Engineer,2025-10-15
70,24,Data Analyst,2025-10-15
71,25,Operations Manager,2025-11-25
72,25,Data Analyst,2025-11-25
73,25,Operations Manager,2025-11-25
74,26,Operations Manager,2025-09-15
75,26,Asset Planner,2025-09-15
76,26,Data Analyst,2025-09-15
77,26,Data Analyst,2025-09-15
78,27,Asset Planner,2025-11-10
79,28,Operations Manager,2025-04-20
80,28,Operations Manager,2025-04-20
81,28,Operations Manager,2025-04-20
82,28,Network Engineer,2025-04-20
83,29,Operations Manager,2025-09-27
84,29,Network Engineer,2025-09-27
85,29,Network Engineer,2025-09-27
86,29,Data Analyst,2025-09-27
87,30,Asset Planner,2026-07-18
88,30,Operations Manager,2026-07-18
89,30,Asset Planner,2026-07-18
90,31,Operations Manager,2026-05-09
91,31,Asset Planner,2026-05-09
92,32,Network Engineer,2026-02-07
93,33,Data Analyst,2026-01-17
94,33,Network Engineer,2026-01-17
95,33,Operations Manager,2026-01-17
96,34,Network Engineer,2025-10-13
97,34,Operations Manager,2025-10-13
98,35,Data Analyst,2025-05-25
99,35,Asset Planner,2025-05-25
100,35,Asset Planner,2025-05-25
101,36,Operations Manager,2025-07-25
102,36,Operations Manager,2025-07-25
103,37,Operations Manager,2025-05-12
104,37,Data Analyst,2025-05-12
105,38,Operations Manager,2026-06-10
106,38,Network Engineer,2026-06-10
107,38,Data Analyst,2026-06-10
108,39,Asset Planner,2025-10-31
109,40,Data Analyst,2026-04-12
110,40,Operations Manager,2026-04-12
